nomem_encr,Q30,Q30_E,Code1,Code2,Code3
800028,Te tijdrovend,Too time-consuming,3.3,,
800119,,,,,
800131,geen zin in,no desire to,7.1,,
800136,privicy,privacy,1.1,,
800161,,,,,
800170,Als ik iets hoor om wat te instaleren weet ik misschien niet hoe dit moet. En wil niet te veel aan anderen vragen,"If I hear something about installing something, I might not know how to do it. And I don't want to ask too many questions of others.",3.2,,
800201,,,,,
800204,ik zet al 80 jaar stappen en ga nog even door.,I've been taking steps for 80 years and I'm still going.,8.3,,
800228,,,,,
800243,,,,,
800360,Ben er niet in geinteresseerd.,I'm not interested in it.,7.1,,
800497,,,,,
800501,Ik heb er geen zin in om het te regelen,I don't feel like arranging it,3.3,,
800571,,,,,
800659,geen zin,no point,7.1,,
800671,PrivÃ©.,Private.,1.1,,
800674,,,,,
800762,Huidige uitleg waarom deze gegevens nodig zijn is te summier.,Current explanation as to why this data is needed is too brief.,6.2,,
800775,,,,,
800778,"Op dit moment is het niet mogelijk voor mij hierin te \ investeren\""""","At this moment it is not possible for me to \""invest\"" in this.",3.4,,
800894,,,,,
800988,,,,,
800994,teveel data van mezelf prijsgeven,revealing too much of my own data,1.1,,
801004,,,,,
801031,ik sport niet veel,I don't exercise much,4.1,,
801055,Ik ben regelmatig op plekken die privacy gevoelig zijn dus daarom doe ik liever niet meeâ€¦.,"I regularly visit places where privacy is sensitive, so I prefer not to participate...",1.1,,
801094,Wil ik niet.,I don't want to.,7.1,,
801132,,,,,
801144,Gaat om mijn privacy,It's about my privacy,1.1,,
801174,,,,,
801205,,,,,
801278,Weet ik niet,I don't know,8.1,,
801361,Ik wil mijn gegevens van mijn PC bij nader inzien niet delen. Ook als ik zie welke stappen er van mij gevraagd worden te doen.,"On second thought, I don't want to share my PC data, even after seeing the steps I'm asked to take.",3.3,,
801480,Geen zin in,No sense in,7.1,,
801556,,,,,
801577,geen reden,no reason,8.1,,
801603,,,,,
801713,,,,,
801748,,,,,
801858,"Niet dat ik niet wil delen,maar wil niet mee doen . Vriendelijke groet. [****]","Not that I don't want to share, but I don't want to participate. Kind regards. [****]",7.1,,
801948,Als ik loop of de honden uitlaat heb ik mijn telefoon nooit bij mij. Hij ligt voornamenlijk op mijn buro of op tafel maar vrijwel nooit in mijn zak.,"When I'm walking or walking the dogs, I never have my phone with me. It's mostly on my desk or table, but almost never in my pocket.",4.1,,
802032,,,,,
802048,,,,,
802072,nee geen interesse,no not interested,7.1,,
802236,,,,,
802252,,,,,
802281,ik heb niet veel verstand van,I don't know much about,6.2,,
802305,Geen zin,No point,7.1,,
802329,,,,,
802340,,,,,
